"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R37,R34,R35,R17";"R_0805_2012Metric";4;"330";;;
2;"D4,D1,D2";"LED_1812_4532Metric";3;"LED";;;
3;"FB3,FB1";"L_0603_1608Metric";2;"FerriteBead";;;
4;"J1";"USB_A_Stewart_SS-52100-001_Horizontal";1;"USB_A";;;
5;"C13,C7,C16,C73,C17,C6,C12";"C_0805_2012Metric";7;"22u";;;
6;"C72,C11,C52,C53,C15,C55,C57,C5,C10,C59,C19,C2,C60";"C_0805_2012Metric";13;"100n";;;
7;"J3";"Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal";1;"AudioJack3_SwitchT";;;
8;"J6";"microSD_HC_Hirose_DM3BT-DSF-PEJS";1;"Micro_SD_Card_Det_Hirose_DM3AT";;;
9;"R29,R30,R27,R26,R25,R31,R28";"R_0805_2012Metric";7;"22";;;
10;"J2";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"USB_B_Micro";;;
11;"U14";"PinHeader_2x05_P2.54mm_Vertical";1;"Power_Jumpers";;;
12;"U6";"Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm_HandSoldering";1;"Oscillator";;;
13;"C65,C66,C67,C64,C54,C9,C61,C58,C1,C18";"C_0805_2012Metric";10;"10u";;;
14;"C70,C3,C35";"C_0805_2012Metric";3;"100u";;;
15;"U3";"Xilinx_FTG256";1;"XC7A100T-FTG256";;;
16;"SW3,SW2,SW6,SW5,SW1,SW4";"SW_CW_GPTS203211B";6;"SW_Push";;;
17;"R10";"R_0805_2012Metric";1;"2.4k";;;
18;"U8";"SOP63P599X175-16N";1;"PCM1754";;;
19;"L1,L2";"L_0805_2012Metric";2;"1.5u";;;
20;"J4";"PinHeader_2x10_P2.54mm_Vertical";1;"MCU_Debug";;;
21;"U5";"SOIC-8W_5.3x5.3mm_P1.27mm";1;"S25FL127S";;;
22;"U11,U13";"LED_TA20-11SRWA";2;"5x7 LED_matrix";;;
23;"U4";"TQFP-64_10x10mm_P0.5mm";1;"EFM32GG332";;;
24;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"Crystal_GND23";;;
25;"R2,R1";"R_0805_2012Metric";2;"100k";;;
26;"R7";"R_0805_2012Metric";1;"73.2k";;;
27;"R5";"R_0805_2012Metric";1;"30.1k";;;
28;"R33,R32";"R_0805_2012Metric";2;"47k";;;
29;"R6,R8,R4";"R_0805_2012Metric";3;"22.1k";;;
30;"R19,R20";"R_0805_2012Metric";2;"15";;;
31;"U7";"PinHeader_2x07_P2.54mm_Vertical";1;"FPGA_JTAG_Debug";;;
32;"U9";"SOT95P280X145-6N";1;"TPD_Current_Switch";;;
33;"U2";"HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm";1;"TSP54294";;;
34;"LS1";"R_2010_5025Metric";1;"Speaker";;;
35;"C14,C56,C71,C4";"C_0805_2012Metric";4;"1u";;;
36;"R11,R12,R16,R15";"R_0805_2012Metric";4;"4.7k";;;
37;"R9";"R_0805_2012Metric";1;"1";;;
38;"U1";"TSSOP-14-1EP_4.4x5mm_P0.65mm";1;"TPS54325";;;
39;"U10";"PinHeader_2x09_P2.54mm_Vertical";1;"FPGA_GPIO_Extra";;;
40;"L3";"L_0805_2012Metric";1;"2.2u";;;
41;"U12";"PinHeader_2x04_P2.54mm_Vertical";1;"MCU_GPIO_Extra";;;
42;"C31,C37,C30,C36,C51,C41,C34,C32,C33,C50,C42,C43,C29,C27,C49,C48,C28";"C_0805_2012Metric";17;"0.47u";;;
43;"R24,R21,R18,R23,R22";"R_0805_2012Metric";5;"100";;;
44;"R14,R13";"R_0805_2012Metric";2;"10k";;;
45;"R3";"R_0805_2012Metric";1;"6.81k";;;
46;"C24,C40,C23,C26,C47,C25,C22,C46,C21,C39";"C_0805_2012Metric";10;"4.7u";;;
47;"C68,C69,C62,C63";"C_0805_2012Metric";4;"10n";;;
48;"C45,C38,C44";"C_0805_2012Metric";3;"47u";;;
49;"C20";"C_0805_2012Metric";1;"330u";;;
50;"C8";"C_0805_2012Metric";1;"3.3n";;;
